"Indicators","0 to 200 m","200 to 400 m","400 m to 800 m"
"Average fishing intensity (I-1)",0.15,0,0
"Proportion of fished c-squares (I-2)",0.24,0,0
"Proportion of area fished (I-3)",0.08,0,0
"Smallest  prop. of c-squares with 90% of total fishing intensity (I-4)",0.07,NA,NA
"Proportion of persistently unfished c-squares (I-5)",0.76,1,1
"Average PD impact (I-6a)",0,0,0
"Average PD-sens impact (I-6b)",0,0,0
"Proportion of c-squares with PD impact < 0.2 (I-7a)",1,1,1
"Proportion of c-squares with PD-sens impact < 0.2 (I-7b)",1,1,1
