"depthclass","Greater North Sea","Kattegat","Norwegian Trench","Central North Sea","Southern North Sea","Channel","Baltic Sea","Bothnian_BS","GulfF_BS","GulfR_BS","Proper_BS","ArkBor_BS","Western_BS","Celtic Seas","Northern Celtic Sea","Southern Celtic Sea","Bay of Biscay and the Iberian Coast","Gulf of Biscay","North-Iberian Atlantic","South-Iberian Atlantic","Gulf of Cadiz"
"Shape",651069,23412,86250,282324,205717,53366,389991,115830,29710,18685,147625,59395,18746,930940,596115,334825,768067,84312,401992,269415,12348
"Overall",220762.2,23197.25,9483.67,18990.94,143001.66,26088.69,350929.59,109721.89,16419.09,17966.37,131810.64,57006.09,18005.52,492672.66,245686.32,246986.34,753777.95,84068.3,388826.8,268678.61,12204.24
"1. 0 - 200m",218309.76,23197.25,7031.23,18990.94,143001.66,26088.69,349024.98,109275.9,16419.09,17966.37,130352.01,57006.09,18005.52,194772.44,74532.51,120239.92,130884.57,77541.55,23712.86,22630.63,6999.53
"2. 200 - 400m",1848.02,NA,1848.02,NA,NA,NA,1872.28,445.99,NA,NA,1426.3,NA,NA,41599.36,30019.15,11580.21,18721.22,5928.08,6860.79,4664.56,1267.79
"3. 400 - 800m",604.42,NA,604.42,NA,NA,NA,32.33,NA,NA,NA,32.33,NA,NA,34649.43,16240.13,18409.31,24912.9,598.67,11056.62,10094.53,3163.08
"4. >= 800m",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221651.43,124894.53,96756.9,579259.26,NA,347196.53,231288.89,773.84
"pct_Overall",33.9,99.1,11,6.7,69.5,48.9,90,94.7,55.3,96.2,89.3,96,96,52.9,41.2,73.8,98.1,99.7,96.7,99.7,98.8
"pct_DC1",98.9,100,74.1,100,100,100,99.5,99.6,100,100,98.9,100,100,39.5,30.3,48.7,17.4,92.2,6.1,8.4,57.4
"pct_DC2",0.8,NA,19.5,NA,NA,NA,0.5,0.4,NA,NA,1.1,NA,NA,8.4,12.2,4.7,2.5,7.1,1.8,1.7,10.4
"pct_DC3",0.3,NA,6.4,NA,NA,NA,0,NA,NA,NA,0,NA,NA,7,6.6,7.5,3.3,0.7,2.8,3.8,25.9
"pct_DC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,50.8,39.2,76.8,NA,89.3,86.1,6.3
