"MSFD","Greater North Sea","Baltic Sea","Celtic Seas","Bay of Biscay and the Iberian Coast"
"Littoral rock and biogenic reef",NA,NA,NA,NA
"Littoral sediment",NA,NA,NA,NA
"Infralittoral rock and biogenic reef",17.4,93.8,19.7,66.1
"Infralittoral coarse sediment",23.9,74.6,12.4,41.6
"Infralittoral mixed sediment",60.8,86.1,33.6,52.3
"Infralittoral sand",42.9,40.6,9.1,64.5
"Infralittoral mud",44.5,68.5,35.2,62.1
"Infralittoral mud or Infralittoral sand",NA,97.4,NA,NA
"Circalittoral rock and biogenic reef",19,97.4,28.3,47.1
"Circalittoral coarse sediment",3,84,32.2,3.9
"Circalittoral mixed sediment",17.9,90.4,41.2,79.3
"Circalittoral sand",3.1,54.5,22.9,26.5
"Circalittoral mud",12,79.3,10.5,32.9
"Circalittoral mud or Circalittoral sand",NA,86.2,NA,NA
"Offshore circalittoral rock and biogenic reef",4.1,99.2,21.7,18.1
"Offshore circalittoral coarse sediment",0.1,84.9,15.5,1.1
"Offshore circalittoral mixed sediment",1,58.4,34.2,14.2
"Offshore circalittoral sand",0.2,11.5,2,3.7
"Offshore circalittoral mud",0.2,41.3,1.7,16.4
"Offshore circalittoral mud or Offshore circalittoral sand",NA,77.3,NA,NA
"Upper bathyal rock and biogenic reef",0,NA,7,37.6
"Upper bathyal sediment",7.9,NA,13.9,19.7
"Upper bathyal sediment or Upper bathyal rock and biogenic reef",NA,NA,22.7,40.9
"Lower bathyal rock and biogenic reef",NA,NA,NA,30.5
"Lower bathyal sediment",NA,NA,37.6,28.3
"Lower bathyal sediment or Lower bathyal rock and biogenic reef",NA,NA,15.7,43.2
"Abyssal",NA,NA,NA,3.4
"Unknown",0.5,NA,29.5,56.9
