"MSFD";"CS_TotExt";"CS_Pct_MPA";"CS_Pct_MPAV";"NCS_TotExt";"NCS_Pct_MPA";"NCS_Pct_MPAV";"SCS_TotExt";"SCS_Pct_MPA";"SCS_Pct_MPAV"
"Littoral rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Littoral sediment";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Infralittoral rock and biogenic reef";749;76,9;68,8;118;44,6;36,6;631;82,9;74,9
"Infralittoral coarse sediment";528;64,3;59,3;102;24,6;22,6;426;73,8;68,1
"Infralittoral mixed sediment";81;60,2;50,7;32;72,6;71;49;52,2;37,5
"Infralittoral sand";636;57,6;44,6;145;41,4;27,4;491;62,4;49,7
"Infralittoral mud";155;71,6;34,1;89;61,9;44,9;66;84,6;19,6
"Infralittoral mud or Infralittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Circalittoral rock and biogenic reef";3855;31,7;20,6;2075;20,5;17,9;1780;44,9;23,8
"Circalittoral coarse sediment";7474;26,7;22,4;4339;6,9;5,2;3135;54;46,2
"Circalittoral mixed sediment";93;20,6;20,5;93;20,5;20,4;0;38,8;38,2
"Circalittoral sand";2976;29,6;16,9;2079;19,6;15,2;897;52,8;21
"Circalittoral mud";1148;23,4;13,3;661;14,1;8,8;487;35,9;19,4
"Circalittoral mud or Circalittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Offshore circalittoral rock and biogenic reef";3637;5,8;3,4;2144;3;2,5;1493;9,8;4,8
"Offshore circalittoral coarse sediment";51989;19;3;18429;1,7;1,6;33560;28,4;3,8
"Offshore circalittoral mixed sediment";4109;1,1;0,8;4004;0;0;105;41,6;30,2
"Offshore circalittoral sand";55419;25,8;2,7;7531;2,4;1,4;47888;29,5;2,9
"Offshore circalittoral mud";31985;2,3;2;6978;1,1;1;25007;2,6;2,2
"Offshore circalittoral mud or Offshore circalittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA
"Upper bathyal rock and biogenic reef";26;97,6;84,4;7;93,7;47,8;18;99,2;99,2
"Upper bathyal sediment";63184;15,5;11,3;51237;13,4;10,6;11947;24,8;14,1
"Upper bathyal sediment or Upper bathyal rock and biogenic reef";41379;8,7;6,7;4655;18,7;7,5;36724;7,5;6,6
"Lower bathyal rock and biogenic reef";11;0;0;11;0;0;NA;NA;NA
"Lower bathyal sediment";24228;35,8;29,3;23537;34,3;29,5;691;88;22,4
"Lower bathyal sediment or Lower bathyal rock and biogenic reef";33162;2,1;2,1;906;2,3;2,3;32255;2,1;2,1
"Abyssal";133557;4,2;4;91275;5,6;5,6;42281;1,2;0,6
"Unknown";NA;NA;NA;NA;NA;NA;NA;NA;NA
