"MSFD";"GNS_TotExt";"GNS_Pct_MPA";"GNS_Pct_MPAV";"KG_TotExt";"KG_Pct_MPA";"KG_Pct_MPAV";"NT_TotExt";"NT_Pct_MPA";"NT_Pct_MPAV";"CNS_TotExt";"CNS_Pct_MPA";"CNS_Pct_MPAV";"SNS_TotExt";"SNS_Pct_MPA";"SNS_Pct_MPAV";"Ch_TotExt";"Ch_Pct_MPA";"Ch_Pct_MPAV"
"Littoral rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Littoral sediment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Infralittoral rock and biogenic reef";304;51,8;42,8;31;42,8;32,3;113;57,2;40,8;NA;NA;NA;1;100;80,8;156;50,3;46,9
"Infralittoral coarse sediment";1226;67,8;52;402;60,2;14,4;4;89,5;81,5;0;100;0;108;68,2;64,8;712;72;71
"Infralittoral mixed sediment";1110;57,1;22,9;1039;56,5;21,2;5;69,3;39,7;NA;NA;NA;59;61,7;41,2;8;100;100
"Infralittoral sand";8973;72,1;43;4623;65,5;16,7;10;88,5;27,9;33;0,1;0;3372;85,9;76,3;919;56,4;54,1
"Infralittoral mud";1378;63,6;44,7;523;53,5;18,1;59;36;25,6;NA;NA;NA;603;75,1;65,6;188;64,3;58,5
"Infralittoral mud or Infralittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Circalittoral rock and biogenic reef";425;56,1;45;26;30;25,2;231;55,2;39,5;NA;NA;NA;36;96,8;94,8;130;52,1;45,3
"Circalittoral coarse sediment";11558;32,6;20,7;610;27,1;21,1;22;85,5;69,9;326;55;55;6917;28,1;22,8;3684;39,8;13,4
"Circalittoral mixed sediment";4504;16;12,6;1679;16,2;11,5;37;44,5;32,8;305;60,3;60,3;2483;10;7,2;0;100;100
"Circalittoral sand";58141;35,6;25,5;2942;28,2;13,9;16;81,7;45,1;1684;40,7;39,3;51223;35,4;25,7;2262;45,5;27,3
"Circalittoral mud";6411;35,1;21;3213;33,7;23,8;128;38,5;23,8;21;35;24,6;2880;36,2;16,9;165;41,6;38,1
"Circalittoral mud or Circalittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Offshore circalittoral rock and biogenic reef";562;40,1;30;8;7;6,7;295;56,1;38,8;NA;NA;NA;42;99,8;95,2;217;8,2;6,6
"Offshore circalittoral coarse sediment";19702;23;8,5;58;11,4;10,6;22;65,3;40;593;8,9;8,9;3520;36,4;32,3;15508;20,5;3,1
"Offshore circalittoral mixed sediment";2954;13,9;12,2;423;13,5;10,8;856;13,1;10;1157;16,3;16;417;11,6;9,9;101;2,5;2,5
"Offshore circalittoral sand";50935;12,1;9;355;52,3;47,2;210;9;3,9;6537;6,2;6;42533;12,2;8,6;1300;31,3;28,5
"Offshore circalittoral mud";42521;15,3;3,9;5326;11,9;10;4575;34,3;7,4;8336;12,4;0,1;24235;13,3;3,1;48;38,8;34,2
"Offshore circalittoral mud or Offshore circalittoral sand";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Upper bathyal rock and biogenic reef";1;72,2;70,9;NA;NA;NA;1;72,2;70,9;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Upper bathyal sediment";2476;43,2;41,5;NA;NA;NA;2476;43,2;41,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Upper bathyal sediment or Upper bathyal rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lower bathyal rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lower bathyal sediment";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lower bathyal sediment or Lower bathyal rock and biogenic reef";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Abyssal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Unknown";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
